feature,importance
units_roll_mean_14,0.37834701588092073
units_roll_mean_28,0.31579336965500543
units_roll_mean_7,0.2521404542205351
Size,0.03799626991483478
Temperature,0.0017555109368230168
CPI,0.001230232568805963
Fuel_Price,0.0012154833354681065
dayofyear,0.001056623311534782
sales_lag_14,0.0009626282720380298
day,0.0009033284786324754
sales_lag_7,0.0007968539344413836
sales_roll_mean_28,0.0007848586695177198
sales_roll_mean_7,0.0007804963254235899
sales_roll_mean_14,0.0007784034590295641
sales_lag_28,0.0006595954654217719
Unemployment,0.0006395869550629707
units_lag_14,0.0005324425179567005
weekofyear,0.00048521567756301226
MarkDown3,0.00047815298061201403
units_lag_7,0.00040462840676988874
units_lag_28,0.0003147549508335698
MarkDown4,0.0002650404445265175
MarkDown1,0.00025875310146261063
MarkDown5,0.0002579872261405308
total_markdown,0.0002553989689081306
month_cos,0.00024422867707384483
MarkDown2,0.00018431473745543576
month_sin,0.00017837009657292136
month,0.00010119766314801218
is_post_holiday,4.566816178387864e-05
year,4.540971020959353e-05
is_holiday,2.7934827236869073e-05
is_pre_holiday,2.7794034634228616e-05
IsHoliday,2.491111423017817e-05
quarter,2.0391038391138608e-05
has_promotion,6.694280995532946e-06
is_weekend,0.0
dow_cos,0.0
dow_sin,0.0
dayofweek,0.0
